en,sv
):,):
:(,:(
:),:)
a-list,a-lista
abandon,överge
abdomen,buk
abortion,abort
above,ovan
abs,magmuskler
absent,frånvarande
absolute,absolut
absolutely,absolut
abstain,avstå
abuse,missbruk
abusi,missbr
academia,akademien
academic,akademisk
academics,akademiker
academies,akademier
academy,akademi
accept,acceptera
accepta,acceptera
accepted,accepterad
accepting,acceptera
accepts,accepterar
acclaimed,uppmärksammad
accomplice,medbrottsling
accomplish,utföra
account,uttalande
accrue,tillfalla
accura,exak
ache,värk
achievable,uppnåeligt
achieve,uppnå
achievi,uppn
aching,värk
acne,acne
acquainta,bekan
activat,aktiver
active,aktiv
actively,aktivt
add,lägg till
added,lagt till
addict,missbrukare
adding,tillsats
adds,lägger till
administr,admin
admir,beundr
admit,erkänna
admits,erkänner
admitted,erkände
admitting,att erkänna
ador,kärle
adult,vuxen
adults,vuxna
advantag,fördel
adventur,ävent
advers,negat
advertising,reklam
advice,råd
advil,advil
advis,råd
aerobic,aerobic
af,af
affair,affär
affect,påverka
affected,påverkade
affecting,påverkar
affection,tillgivenhet
affects,påverkar
affordable,prisvärd
afraid,rädd
after,efter
afterlife,livet efter detta
age,ålder
agencies,byråer
agency,byrå
agent,ombud
agents,ombud
aggravat,förvärr
aggress,aggress
aggressed,angripen
aggresses,angriper
aggressing,att angripa
aggression,aggression
aggressive,aggressiv
aggressively,aggressivt
aggressor,angripare
agitat,upprö
agnost,agnost
agoniz,vånd
agony,vånda
agree,hålla med
agreeable,angenäm
agreeableness,behag
agreeably,angenämt
agreed,höll med
agreeing,hålla med
agreement,avtal
agrees,instämmer
ahead,framöver
aids,aids
alarm,larm
alcohol,alkohol
alike,lika
alive,levande
all,allt
alla,alla
allah,allah
allerg,allerg
allot,tilldela
allow,tillåta
ally,allierad
almost,nästan
alone,ensam
alot,mycket
alright,okej
altar,altare
altogether,sammanlagt
always,alltid
amateur,amatör
amaze,förvåna
amazing,fantastisk
amazingly,otroligt
ambigu,tvetyd
ambition,ambition
ambitions,ambitioner
ambitious,ambitiös
ambitiousness,ambitionsnivå
amen,amen
amigo,vän
amish,amish
amor,kärlek
amount,belopp
amounts,mängder
amput,amput
amus,ro
anal,anal
analy,analy
angel,ängel
angelic,änglalik
angels,änglar
anger,ilska
angrier,argare
angriest,argast
angry,arg
anguish,ångest
ankle,vrist
annoy,irritera
annoyed,irriterad
annoying,irriterande
annoys,retar
anonymous,anonym
anorexi,anorexi
another,annan
antacid,antacid
antagoni,antagoni
anticipate,förutse
anticipation,förväntan
antidepressant,antidepressiv
anus,anus
anxiety,ångest
anxious,orolig
anxiously,oroligt
anxiousness,oro
any,några
anybod,vem som helst
anyhow,hur som helst
anyone,någon
anything,något
anytime,helst
anywhere,var som helst
aok,aok
apath,apath
apolog,ursäkt
appall,förfära
apparent,självklar
apparently,tydligen
appear,dyka upp
appeared,dök upp
appearing,dyker upp
appears,verkar
appeti,apti
applicant,sökande
applicat,applicer
appreciat,uppskatt
apprehens,uppfatt
apprentic,lärl
approachable,tillgänglig
approaching,närmar sig
approv,godk
approximat,ungefärl
arbitrar,godtyck
arch,båge
argh,argh
argu,argu
arm,beväpna
armies,arméer
armpit,armhåla
